unicode	ids_sequence	xhzd_index	variant	variant_warning	gong_huangcheng_reading	rhyme_class	initial_class	pronunciation_warning	english_definition
𗀀	⿱𘠀⿰𘢰𘠆	8			do	1.49	III		poison
𗀁	⿱𘠀⿵𘠒𘡯	30			sa		VI		to suck
𗀂	⿱𘠀⿰𘠨𘢓	101			tśhja̱	1.21	VII		strong
𗀃	⿱𘠀⿰𘣣𘠐	38			śio	2.43	VII		to mate
𗀄	⿱𘠀⿰𘣴𘠢	26			ŋwu	2.1	V		collar
𗀅	⿱𘠀⿲𘠐𘠳𘠢	13			zar	2.73	IX		to undergo
𗀆	⿱𘠀⿰𘤊𘠢	65			gjwɨr	2.77	V		back of the body
𗀇	⿱𘠀𘨐	5			gjow	1.56	V		be able to
𗀈	⿱𘠀⿰𘤣𘠢	87			tsow	1.54	VI		incomplete
𗀉	⿱𘠀⿰𘫿𘠢	66			kiej	2.31	V		ankle
𗀊	⿱𘠀⿰𘠨𘤮	104			tśhja̱	1.21	VII		to gather
𗀋	⿱𘠀⿲𘠨𘢰𘠆	80			phio	2.43	I		snake
𗀌	⿱𘠀⿰𘡰𘡰	116			tśhja	1.19	VII		vehicle
𗀍	⿱𘠀⿲𘠁𘤬𘠢	25			khie̱	1.13	V		mixed and disorderly
𗀎	⿱𘠀⿰𘡽𘢒	56			rjijr	2.68	IX		nearby
𗀏	⿱𘠀⿲𘠒𘫺𘡆	17			?ar	2.73			a kind of horse
𗀐	⿱𘠀⿰𘤞𘠺	143			dźjij	1.35	VII		cold
𗀑	⿱𘠀⿰𘦛𘠢	67			ljij	2.33	IX		to shelter
𗀒	⿱𘠀⿰𘦳𘠢	68			śjow	2.48	VII		Buddhist monk
𗀓	⿱𘡳⿰𘠈𘣴	147			śjij	2.32	VII		to request
𗀔	⿱𘠀⿲𘠨𘢌𘠢	89			tśhja̱	1.21	VII		above
𗀕	⿱𘠀⿰𘠐𘧮	35			zar	2.73	IX		bride-price
𗀖	⿱𘠀⿰𘧶𘠢	69			lọ	2.62	IX		to rely on
𗀗	⿱𘠀⿰𘤞𘢒	145			tse̱w	2.41	VI		to melt
𗀘	⿱𘠀⿰𘨷𘠢	70			thjwɨ	1.30	III		to meet
